ALL,NON-FRAUD,FRAUD
MV,3.649168901782619e-05,3.685005711758853e-05,0.0
LT,3.649168901782619e-05,3.685005711758853e-05,0.0
LC,3.649168901782619e-05,3.685005711758853e-05,0.0
GE,3.649168901782619e-05,3.685005711758853e-05,0.0
PW,3.649168901782619e-05,3.685005711758853e-05,0.0
BS,3.649168901782619e-05,3.685005711758853e-05,0.0
CI,3.649168901782619e-05,3.685005711758853e-05,0.0
MQ,3.649168901782619e-05,3.685005711758853e-05,0.0
SC,3.649168901782619e-05,3.685005711758853e-05,0.0
BM,3.649168901782619e-05,3.685005711758853e-05,0.0
MZ,1.8245844508913096e-05,1.8425028558794266e-05,0.0
GL,1.8245844508913096e-05,1.8425028558794266e-05,0.0
KZ,1.8245844508913096e-05,1.8425028558794266e-05,0.0
ID,1.8245844508913096e-05,1.8425028558794266e-05,0.0
MW,1.8245844508913096e-05,1.8425028558794266e-05,0.0
TD,1.8245844508913096e-05,1.8425028558794266e-05,0.0
SZ,1.8245844508913096e-05,1.8425028558794266e-05,0.0
TV,1.8245844508913096e-05,1.8425028558794266e-05,0.0
LK,1.8245844508913096e-05,1.8425028558794266e-05,0.0
NP,1.8245844508913096e-05,1.8425028558794266e-05,0.0
VN,1.8245844508913096e-05,1.8425028558794266e-05,0.0
MG,1.8245844508913096e-05,1.8425028558794266e-05,0.0
BH,1.8245844508913096e-05,1.8425028558794266e-05,0.0
BA,1.8245844508913096e-05,1.8425028558794266e-05,0.0
EC,1.8245844508913096e-05,1.8425028558794266e-05,0.0
HN,1.8245844508913096e-05,1.8425028558794266e-05,0.0
EG,1.8245844508913096e-05,1.8425028558794266e-05,0.0
GY,1.8245844508913096e-05,1.8425028558794266e-05,0.0
PE,1.8245844508913096e-05,1.8425028558794266e-05,0.0
BB,1.8245844508913096e-05,1.8425028558794266e-05,0.0
GA,1.8245844508913096e-05,1.8425028558794266e-05,0.0
CM,1.8245844508913096e-05,1.8425028558794266e-05,0.0
WF,1.8245844508913096e-05,1.8425028558794266e-05,0.0
KG,1.8245844508913096e-05,1.8425028558794266e-05,0.0
OM,1.8245844508913096e-05,1.8425028558794266e-05,0.0
AD,1.8245844508913096e-05,1.8425028558794266e-05,0.0
CL,1.8245844508913096e-05,1.8425028558794266e-05,0.0
GT,1.8245844508913096e-05,1.8425028558794266e-05,0.0012515644555694619
VI,1.8245844508913096e-05,1.8425028558794266e-05,0.0
UG,1.8245844508913096e-05,1.8425028558794266e-05,0.0
CV,1.8245844508913096e-05,1.8425028558794266e-05,0.0
MS,1.8245844508913096e-05,1.8425028558794266e-05,0.0
AG,1.8245844508913096e-05,1.8425028558794266e-05,0.0
ML,1.8245844508913096e-05,1.8425028558794266e-05,0.0
AO,1.8245844508913096e-05,1.8425028558794266e-05,0.0
UZ,1.8245844508913096e-05,1.8425028558794266e-05,0.0
